Date,Store,Product,Price,Cost,Units_Sold,Promo,Holiday
2024-01-07,Store_A,Chips,19.34,11.0,362,0,0
2024-01-07,Store_B,Chips,18.62,11.0,356,0,0
2024-01-07,Store_C,Chips,19.07,11.0,342,0,0
2024-01-07,Store_A,Water,7.25,4.0,1265,1,0
2024-01-07,Store_B,Water,8.38,4.0,681,0,0
2024-01-07,Store_C,Water,8.12,4.0,709,0,0
2024-01-08,Store_A,Cola,10.74,7.0,843,1,0
2024-01-08,Store_B,Cola,11.83,7.0,449,0,0
2024-01-08,Store_C,Cola,11.87,7.0,548,0,0
2024-01-08,Store_A,Chips,19.62,11.0,329,0,0
2024-01-08,Store_B,Chips,19.98,11.0,301,0,0
2024-01-08,Store_C,Chips,18.2,11.0,468,1,0
2024-01-08,Store_A,Water,7.5,4.0,758,0,0
2024-01-08,Store_B,Water,7.6,4.0,642,0,0
2024-01-08,Store_C,Water,7.41,4.0,949,1,0
2024-01-09,Store_A,Cola,11.37,7.0,547,0,0
2024-01-09,Store_B,Cola,11.74,7.0,507,0,0
2024-01-09,Store_C,Cola,12.08,7.0,495,0,0
2024-01-09,Store_A,Chips,19.84,11.0,270,0,0
2024-01-09,Store_B,Chips,21.39,11.0,284,0,0
2024-01-09,Store_C,Chips,19.9,11.0,298,0,0
2024-01-09,Store_A,Water,8.09,4.0,637,0,0
2024-01-09,Store_B,Water,8.26,4.0,640,0,0
2024-01-09,Store_C,Water,7.82,4.0,668,0,0
2024-01-10,Store_A,Cola,12.54,7.0,463,0,0
2024-01-10,Store_B,Cola,12.54,7.0,446,0,0
2024-01-10,Store_C,Cola,12.75,7.0,501,0,0
2024-01-10,Store_A,Chips,18.22,11.0,444,1,0
2024-01-10,Store_B,Chips,19.6,11.0,317,0,0
2024-01-10,Store_C,Chips,19.92,11.0,282,0,0
2024-01-10,Store_A,Water,7.02,4.0,983,1,0
2024-01-10,Store_B,Water,8.17,4.0,688,0,0
2024-01-10,Store_C,Water,8.73,4.0,568,0,0
2024-01-11,Store_A,Cola,11.84,7.0,510,0,0
2024-01-11,Store_B,Cola,11.01,7.0,718,1,0
2024-01-11,Store_C,Cola,12.07,7.0,489,0,0
2024-01-11,Store_A,Chips,19.88,11.0,301,0,0
2024-01-11,Store_B,Chips,20.2,11.0,329,0,0
2024-01-11,Store_C,Chips,18.02,11.0,421,1,0
2024-01-11,Store_A,Water,8.16,4.0,664,0,0
2024-01-11,Store_B,Water,7.73,4.0,666,0,0
2024-01-11,Store_C,Water,7.29,4.0,1134,1,0
2024-01-12,Store_A,Cola,10.63,7.0,743,1,0
2024-01-12,Store_B,Cola,11.72,7.0,520,0,0
2024-01-12,Store_C,Cola,11.64,7.0,555,0,0
2024-01-12,Store_A,Chips,19.95,11.0,294,0,0
2024-01-12,Store_B,Chips,19.42,11.0,327,0,0
2024-01-12,Store_C,Chips,18.08,11.0,494,1,0
2024-01-12,Store_A,Water,8.03,4.0,661,0,0
2024-01-12,Store_B,Water,8.03,4.0,599,0,0
2024-01-12,Store_C,Water,8.07,4.0,568,0,0
2024-01-13,Store_A,Cola,12.32,7.0,527,0,0
2024-01-13,Store_B,Cola,12.61,7.0,516,0,0
2024-01-13,Store_C,Cola,12.04,7.0,501,0,0
2024-01-13,Store_A,Chips,19.5,11.0,370,0,0
2024-01-13,Store_B,Chips,20.79,11.0,309,0,0
2024-01-13,Store_C,Chips,19.67,11.0,337,0,0
2024-01-13,Store_A,Water,7.99,4.0,767,0,0
2024-01-13,Store_B,Water,7.9,4.0,697,0,0
2024-01-13,Store_C,Water,8.24,4.0,665,0,0
2024-01-14,Store_A,Cola,11.82,7.0,592,0,0
2024-01-14,Store_B,Cola,11.99,7.0,524,0,0
2024-01-14,Store_C,Cola,12.23,7.0,515,0,0
2024-01-14,Store_A,Chips,19.25,11.0,331,0,0
2024-01-14,Store_B,Chips,20.03,11.0,357,0,0
2024-01-14,Store_C,Chips,19.7,11.0,319,0,0
2024-01-14,Store_A,Water,7.88,4.0,769,0,0
2024-01-14,Store_B,Water,7.84,4.0,694,0,0
2024-01-14,Store_C,Water,7.95,4.0,745,0,0
2024-01-15,Store_A,Cola,12.01,7.0,556,0,0
2024-01-15,Store_B,Cola,11.76,7.0,473,0,0
2024-01-15,Store_C,Cola,11.18,7.0,506,0,0
2024-01-15,Store_A,Chips,18.87,11.0,335,0,0
2024-01-15,Store_B,Chips,19.57,11.0,303,0,0
2024-01-15,Store_C,Chips,17.65,11.0,522,1,0
2024-01-15,Store_A,Water,7.86,4.0,590,0,0
2024-01-15,Store_B,Water,7.99,4.0,647,0,0
2024-01-15,Store_C,Water,7.99,4.0,701,0,0
2024-01-16,Store_A,Cola,11.82,7.0,508,0,0
2024-01-16,Store_B,Cola,10.64,7.0,795,1,0
2024-01-16,Store_C,Cola,11.98,7.0,508,0,0
2024-01-16,Store_A,Chips,19.62,11.0,303,0,0
2024-01-16,Store_B,Chips,20.0,11.0,275,0,0
2024-01-16,Store_C,Chips,19.75,11.0,299,0,0
2024-01-16,Store_A,Water,8.02,4.0,641,0,0
2024-01-16,Store_B,Water,7.15,4.0,966,1,0
2024-01-16,Store_C,Water,7.12,4.0,1038,1,0
2024-01-17,Store_A,Cola,12.03,7.0,494,0,0
2024-01-17,Store_B,Cola,11.6,7.0,538,0,0
2024-01-17,Store_C,Cola,11.49,7.0,510,0,0
2024-01-17,Store_A,Chips,20.17,11.0,300,0,0
2024-01-17,Store_B,Chips,20.47,11.0,307,0,0
2024-01-17,Store_C,Chips,20.38,11.0,289,0,0
2024-01-17,Store_A,Water,8.15,4.0,584,0,0
2024-01-17,Store_B,Water,7.94,4.0,667,0,0
2024-01-17,Store_C,Water,7.98,4.0,642,0,0
2024-01-18,Store_A,Cola,12.1,7.0,505,0,0
2024-01-18,Store_B,Cola,11.81,7.0,509,0,0
2024-01-18,Store_C,Cola,12.26,7.0,496,0,0
2024-01-18,Store_A,Chips,18.62,11.0,298,0,0
2024-01-18,Store_B,Chips,20.12,11.0,267,0,0
2024-01-18,Store_C,Chips,17.78,11.0,452,1,0
2024-01-18,Store_A,Water,8.14,4.0,648,0,0
2024-01-18,Store_B,Water,8.12,4.0,531,0,0
2024-01-18,Store_C,Water,8.11,4.0,702,0,0
2024-01-19,Store_A,Cola,10.87,7.0,789,1,0
2024-01-19,Store_B,Cola,11.99,7.0,527,0,0
2024-01-19,Store_C,Cola,11.99,7.0,506,0,0
2024-01-19,Store_A,Chips,20.59,11.0,271,0,0
2024-01-19,Store_B,Chips,20.31,11.0,312,0,0
2024-01-19,Store_C,Chips,20.13,11.0,285,0,0
2024-01-19,Store_A,Water,8.08,4.0,659,0,0
2024-01-19,Store_B,Water,7.35,4.0,973,1,0
2024-01-19,Store_C,Water,7.07,4.0,989,1,0
2024-01-20,Store_A,Cola,12.16,7.0,558,0,0
2024-01-20,Store_B,Cola,11.92,7.0,596,0,0
2024-01-20,Store_C,Cola,12.29,7.0,614,0,0
2024-01-20,Store_A,Chips,20.09,11.0,364,0,0
2024-01-20,Store_B,Chips,20.05,11.0,343,0,0
2024-01-20,Store_C,Chips,19.43,11.0,363,0,0
2024-01-20,Store_A,Water,7.18,4.0,1158,1,0
2024-01-20,Store_B,Water,7.15,4.0,1184,1,0
2024-01-20,Store_C,Water,7.84,4.0,799,0,0
2024-01-21,Store_A,Cola,11.92,7.0,557,0,0
2024-01-21,Store_B,Cola,11.75,7.0,563,0,0
2024-01-21,Store_C,Cola,11.37,7.0,629,0,0
2024-01-21,Store_A,Chips,19.85,11.0,364,0,0
2024-01-21,Store_B,Chips,19.8,11.0,380,0,0
2024-01-21,Store_C,Chips,21.29,11.0,270,0,0
2024-01-21,Store_A,Water,8.47,4.0,699,0,0
2024-01-21,Store_B,Water,8.06,4.0,688,0,0
2024-01-21,Store_C,Water,7.11,4.0,1135,1,0
2024-01-22,Store_A,Cola,12.06,7.0,529,0,0
2024-01-22,Store_B,Cola,11.57,7.0,497,0,0
2024-01-22,Store_C,Cola,12.02,7.0,438,0,0
2024-01-22,Store_A,Chips,17.46,11.0,498,1,0
2024-01-22,Store_B,Chips,19.97,11.0,290,0,0
2024-01-22,Store_C,Chips,17.39,11.0,491,1,0
2024-01-22,Store_A,Water,8.21,4.0,653,0,0
2024-01-22,Store_B,Water,7.41,4.0,973,1,0
2024-01-22,Store_C,Water,8.01,4.0,631,0,0
2024-01-23,Store_A,Cola,12.51,7.0,536,0,0
2024-01-23,Store_B,Cola,12.13,7.0,513,0,0
2024-01-23,Store_C,Cola,12.22,7.0,495,0,0
2024-01-23,Store_A,Chips,18.56,11.0,431,1,0
2024-01-23,Store_B,Chips,17.81,11.0,518,1,0
2024-01-23,Store_C,Chips,17.76,11.0,463,1,0
2024-01-23,Store_A,Water,7.29,4.0,1083,1,0
2024-01-23,Store_B,Water,7.31,4.0,978,1,0
2024-01-23,Store_C,Water,7.85,4.0,584,0,0
2024-01-24,Store_A,Cola,10.48,7.0,784,1,0
2024-01-24,Store_B,Cola,11.76,7.0,508,0,0
2024-01-24,Store_C,Cola,12.37,7.0,444,0,0
2024-01-24,Store_A,Chips,19.21,11.0,330,0,0
2024-01-24,Store_B,Chips,20.04,11.0,310,0,0
2024-01-24,Store_C,Chips,20.17,11.0,303,0,0
2024-01-24,Store_A,Water,7.97,4.0,643,0,0
2024-01-24,Store_B,Water,8.26,4.0,625,0,0
2024-01-24,Store_C,Water,7.95,4.0,652,0,0
2024-01-25,Store_A,Cola,11.85,7.0,525,0,0
2024-01-25,Store_B,Cola,12.23,7.0,562,0,0
2024-01-25,Store_C,Cola,11.8,7.0,535,0,0
2024-01-25,Store_A,Chips,19.99,11.0,282,0,0
2024-01-25,Store_B,Chips,19.16,11.0,290,0,0
2024-01-25,Store_C,Chips,19.93,11.0,269,0,0
2024-01-25,Store_A,Water,8.09,4.0,636,0,0
2024-01-25,Store_B,Water,7.29,4.0,964,1,0
2024-01-25,Store_C,Water,8.23,4.0,632,0,0
2024-01-26,Store_A,Cola,12.23,7.0,469,0,0
2024-01-26,Store_B,Cola,11.34,7.0,764,1,0
2024-01-26,Store_C,Cola,12.08,7.0,531,0,0
2024-01-26,Store_A,Chips,17.37,11.0,485,1,0
2024-01-26,Store_B,Chips,18.04,11.0,504,1,0
2024-01-26,Store_C,Chips,18.29,11.0,428,1,0
2024-01-26,Store_A,Water,8.12,4.0,646,0,0
2024-01-26,Store_B,Water,7.85,4.0,663,0,0
2024-01-26,Store_C,Water,8.33,4.0,625,0,0
2024-01-27,Store_A,Cola,11.97,7.0,523,0,0
2024-01-27,Store_B,Cola,10.99,7.0,805,1,0
2024-01-27,Store_C,Cola,11.74,7.0,583,0,0
2024-01-27,Store_A,Chips,21.97,11.0,330,0,0
2024-01-27,Store_B,Chips,20.05,11.0,336,0,0
2024-01-27,Store_C,Chips,20.42,11.0,325,0,0
2024-01-27,Store_A,Water,7.5,4.0,810,0,0
2024-01-27,Store_B,Water,8.08,4.0,695,0,0
2024-01-27,Store_C,Water,8.11,4.0,720,0,0
2024-01-28,Store_A,Cola,11.89,7.0,543,0,0
2024-01-28,Store_B,Cola,10.87,7.0,858,1,0
2024-01-28,Store_C,Cola,12.29,7.0,520,0,0
2024-01-28,Store_A,Chips,18.96,11.0,333,0,0
2024-01-28,Store_B,Chips,20.48,11.0,316,0,0
2024-01-28,Store_C,Chips,18.26,11.0,495,1,0
2024-01-28,Store_A,Water,7.2,4.0,1102,1,0
2024-01-28,Store_B,Water,8.0,4.0,703,0,0
2024-01-28,Store_C,Water,8.03,4.0,762,0,0
2024-01-29,Store_A,Cola,12.55,7.0,446,0,0
2024-01-29,Store_B,Cola,12.45,7.0,523,0,0
2024-01-29,Store_C,Cola,12.77,7.0,480,0,0
2024-01-29,Store_A,Chips,20.18,11.0,307,0,0
2024-01-29,Store_B,Chips,19.1,11.0,332,0,0
2024-01-29,Store_C,Chips,20.9,11.0,267,0,0
2024-01-29,Store_A,Water,7.07,4.0,986,1,0
2024-01-29,Store_B,Water,7.68,4.0,730,0,0
2024-01-29,Store_C,Water,8.0,4.0,646,0,0
2024-01-30,Store_A,Cola,12.51,7.0,464,0,0
2024-01-30,Store_B,Cola,11.78,7.0,544,0,0
2024-01-30,Store_C,Cola,11.8,7.0,522,0,0
2024-01-30,Store_A,Chips,20.81,11.0,290,0,0
2024-01-30,Store_B,Chips,19.74,11.0,298,0,0
2024-01-30,Store_C,Chips,20.02,11.0,294,0,0
2024-01-30,Store_A,Water,7.17,4.0,886,1,0
2024-01-30,Store_B,Water,7.1,4.0,992,1,0
2024-01-30,Store_C,Water,7.24,4.0,922,1,0
2024-01-31,Store_A,Cola,10.57,7.0,707,1,0
2024-01-31,Store_B,Cola,11.75,7.0,535,0,0
2024-01-31,Store_C,Cola,11.92,7.0,502,0,0
2024-01-31,Store_A,Chips,19.07,11.0,323,0,0
2024-01-31,Store_B,Chips,18.21,11.0,454,1,0
2024-01-31,Store_C,Chips,20.7,11.0,251,0,0
2024-01-31,Store_A,Water,7.94,4.0,625,0,0
2024-01-31,Store_B,Water,8.02,4.0,742,0,0
2024-01-31,Store_C,Water,7.86,4.0,650,0,0
2024-02-01,Store_A,Cola,11.83,7.0,537,0,0
2024-02-01,Store_B,Cola,11.73,7.0,468,0,0
2024-02-01,Store_C,Cola,10.32,7.0,871,1,0
2024-02-01,Store_A,Chips,20.75,11.0,304,0,0
2024-02-01,Store_B,Chips,19.44,11.0,298,0,0
2024-02-01,Store_C,Chips,19.36,11.0,341,0,0
2024-02-01,Store_A,Water,7.04,4.0,1032,1,0
2024-02-01,Store_B,Water,8.04,4.0,637,0,0
2024-02-01,Store_C,Water,6.89,4.0,1081,1,0
2024-02-02,Store_A,Cola,12.05,7.0,469,0,0
2024-02-02,Store_B,Cola,12.08,7.0,475,0,0
2024-02-02,Store_C,Cola,12.23,7.0,495,0,0
2024-02-02,Store_A,Chips,18.28,11.0,465,1,0
2024-02-02,Store_B,Chips,18.92,11.0,313,0,0
2024-02-02,Store_C,Chips,19.82,11.0,281,0,0
2024-02-02,Store_A,Water,8.37,4.0,648,0,0
2024-02-02,Store_B,Water,7.65,4.0,694,0,0
2024-02-02,Store_C,Water,8.12,4.0,595,0,0
2024-02-03,Store_A,Cola,11.23,7.0,596,0,0
2024-02-03,Store_B,Cola,11.83,7.0,610,0,0
2024-02-03,Store_C,Cola,11.82,7.0,503,0,0
2024-02-03,Store_A,Chips,20.26,11.0,303,0,0
2024-02-03,Store_B,Chips,21.13,11.0,311,0,0
2024-02-03,Store_C,Chips,19.49,11.0,351,0,0
2024-02-03,Store_A,Water,7.29,4.0,1078,1,0
2024-02-03,Store_B,Water,7.46,4.0,799,0,0
2024-02-03,Store_C,Water,7.86,4.0,740,0,0
2024-02-04,Store_A,Cola,12.86,7.0,493,0,0
2024-02-04,Store_B,Cola,11.78,7.0,593,0,0
2024-02-04,Store_C,Cola,12.51,7.0,529,0,0
2024-02-04,Store_A,Chips,19.9,11.0,301,0,0
2024-02-04,Store_B,Chips,19.12,11.0,350,0,0
2024-02-04,Store_C,Chips,18.69,11.0,368,0,0
2024-02-04,Store_A,Water,7.19,4.0,1012,1,0
2024-02-04,Store_B,Water,7.91,4.0,749,0,0
2024-02-04,Store_C,Water,7.92,4.0,779,0,0
2024-02-05,Store_A,Cola,12.33,7.0,477,0,0
2024-02-05,Store_B,Cola,12.26,7.0,491,0,0
2024-02-05,Store_C,Cola,11.58,7.0,497,0,0
2024-02-05,Store_A,Chips,18.32,11.0,485,1,0
2024-02-05,Store_B,Chips,17.93,11.0,448,1,0
2024-02-05,Store_C,Chips,19.87,11.0,313,0,0
2024-02-05,Store_A,Water,7.99,4.0,592,0,0
2024-02-05,Store_B,Water,7.81,4.0,724,0,0
2024-02-05,Store_C,Water,8.1,4.0,687,0,0
2024-02-06,Store_A,Cola,11.92,7.0,513,0,0
2024-02-06,Store_B,Cola,12.91,7.0,483,0,0
2024-02-06,Store_C,Cola,10.94,7.0,697,1,0
2024-02-06,Store_A,Chips,18.11,11.0,454,1,0
2024-02-06,Store_B,Chips,19.63,11.0,334,0,0
2024-02-06,Store_C,Chips,20.37,11.0,311,0,0
2024-02-06,Store_A,Water,7.89,4.0,644,0,0
2024-02-06,Store_B,Water,8.19,4.0,610,0,0
2024-02-06,Store_C,Water,7.53,4.0,655,0,0
2024-02-07,Store_A,Cola,11.83,7.0,534,0,0
2024-02-07,Store_B,Cola,12.65,7.0,485,0,0
2024-02-07,Store_C,Cola,11.98,7.0,586,0,0
2024-02-07,Store_A,Chips,19.98,11.0,298,0,0
2024-02-07,Store_B,Chips,20.51,11.0,295,0,0
2024-02-07,Store_C,Chips,20.2,11.0,306,0,0
2024-02-07,Store_A,Water,7.26,4.0,1069,1,0
2024-02-07,Store_B,Water,7.76,4.0,630,0,0
2024-02-07,Store_C,Water,7.86,4.0,715,0,0
2024-02-08,Store_A,Cola,12.24,7.0,483,0,0
2024-02-08,Store_B,Cola,10.82,7.0,788,1,0
2024-02-08,Store_C,Cola,12.39,7.0,429,0,0
2024-02-08,Store_A,Chips,20.07,11.0,313,0,0
2024-02-08,Store_B,Chips,19.36,11.0,334,0,0
2024-02-08,Store_C,Chips,20.07,11.0,252,0,0
2024-02-08,Store_A,Water,8.25,4.0,633,0,0
2024-02-08,Store_B,Water,8.23,4.0,692,0,0
2024-02-08,Store_C,Water,7.17,4.0,923,1,0
2024-02-09,Store_A,Cola,12.17,7.0,527,0,0
2024-02-09,Store_B,Cola,12.32,7.0,446,0,0
2024-02-09,Store_C,Cola,12.21,7.0,500,0,0
2024-02-09,Store_A,Chips,18.51,11.0,335,0,0
2024-02-09,Store_B,Chips,18.52,11.0,324,0,0
2024-02-09,Store_C,Chips,20.31,11.0,296,0,0
2024-02-09,Store_A,Water,7.76,4.0,650,0,0
2024-02-09,Store_B,Water,7.95,4.0,722,0,0
2024-02-09,Store_C,Water,7.79,4.0,688,0,0
2024-02-10,Store_A,Cola,11.76,7.0,594,0,0
2024-02-10,Store_B,Cola,12.15,7.0,569,0,0
2024-02-10,Store_C,Cola,11.49,7.0,574,0,0
2024-02-10,Store_A,Chips,20.3,11.0,360,0,0
2024-02-10,Store_B,Chips,19.55,11.0,366,0,0
2024-02-10,Store_C,Chips,20.06,11.0,311,0,0
2024-02-10,Store_A,Water,7.6,4.0,914,0,0
2024-02-10,Store_B,Water,7.46,4.0,873,0,0
2024-02-10,Store_C,Water,8.0,4.0,675,0,0
2024-02-11,Store_A,Cola,12.17,7.0,552,0,0
2024-02-11,Store_B,Cola,11.97,7.0,627,0,0
2024-02-11,Store_C,Cola,12.29,7.0,516,0,0
2024-02-11,Store_A,Chips,20.48,11.0,319,0,0
2024-02-11,Store_B,Chips,20.65,11.0,306,0,0
2024-02-11,Store_C,Chips,19.54,11.0,321,0,0
2024-02-11,Store_A,Water,7.54,4.0,1098,1,0
2024-02-11,Store_B,Water,8.26,4.0,725,0,0
2024-02-11,Store_C,Water,7.32,4.0,1132,1,0
2024-02-12,Store_A,Cola,10.93,7.0,742,1,0
2024-02-12,Store_B,Cola,11.89,7.0,463,0,0
2024-02-12,Store_C,Cola,10.59,7.0,808,1,0
2024-02-12,Store_A,Chips,19.67,11.0,289,0,0
2024-02-12,Store_B,Chips,21.36,11.0,267,0,0
2024-02-12,Store_C,Chips,20.6,11.0,276,0,0
2024-02-12,Store_A,Water,8.67,4.0,544,0,0
2024-02-12,Store_B,Water,8.02,4.0,590,0,0
2024-02-12,Store_C,Water,8.04,4.0,691,0,0
2024-02-13,Store_A,Cola,11.83,7.0,518,0,0
2024-02-13,Store_B,Cola,12.32,7.0,454,0,0
2024-02-13,Store_C,Cola,11.75,7.0,504,0,0
2024-02-13,Store_A,Chips,17.82,11.0,497,1,0
2024-02-13,Store_B,Chips,19.64,11.0,312,0,0
2024-02-13,Store_C,Chips,20.01,11.0,314,0,0
2024-02-13,Store_A,Water,7.18,4.0,968,1,0
2024-02-13,Store_B,Water,8.25,4.0,585,0,0
2024-02-13,Store_C,Water,8.12,4.0,621,0,0
2024-02-14,Store_A,Cola,12.39,7.0,492,0,0
2024-02-14,Store_B,Cola,12.36,7.0,472,0,0
2024-02-14,Store_C,Cola,11.38,7.0,673,1,0
2024-02-14,Store_A,Chips,20.17,11.0,310,0,0
2024-02-14,Store_B,Chips,19.16,11.0,301,0,0
2024-02-14,Store_C,Chips,19.94,11.0,303,0,0
2024-02-14,Store_A,Water,8.32,4.0,658,0,0
2024-02-14,Store_B,Water,7.99,4.0,673,0,0
2024-02-14,Store_C,Water,7.72,4.0,805,0,0
2024-02-15,Store_A,Cola,11.49,7.0,527,0,0
2024-02-15,Store_B,Cola,12.04,7.0,542,0,0
2024-02-15,Store_C,Cola,10.71,7.0,797,1,0
2024-02-15,Store_A,Chips,20.61,11.0,303,0,0
2024-02-15,Store_B,Chips,19.96,11.0,252,0,0
2024-02-15,Store_C,Chips,17.61,11.0,470,1,0
2024-02-15,Store_A,Water,7.03,4.0,982,1,0
2024-02-15,Store_B,Water,8.25,4.0,635,0,0
2024-02-15,Store_C,Water,8.2,4.0,664,0,0
2024-02-16,Store_A,Cola,11.97,7.0,483,0,0
2024-02-16,Store_B,Cola,12.45,7.0,441,0,0
2024-02-16,Store_C,Cola,12.16,7.0,486,0,0
2024-02-16,Store_A,Chips,19.31,11.0,289,0,0
2024-02-16,Store_B,Chips,20.15,11.0,319,0,0
2024-02-16,Store_C,Chips,20.88,11.0,294,0,0
2024-02-16,Store_A,Water,8.07,4.0,608,0,0
2024-02-16,Store_B,Water,7.68,4.0,680,0,0
2024-02-16,Store_C,Water,7.14,4.0,924,1,0
2024-02-17,Store_A,Cola,12.03,7.0,518,0,0
2024-02-17,Store_B,Cola,10.53,7.0,895,1,0
2024-02-17,Store_C,Cola,11.87,7.0,606,0,0
2024-02-17,Store_A,Chips,20.09,11.0,355,0,0
2024-02-17,Store_B,Chips,19.59,11.0,322,0,0
2024-02-17,Store_C,Chips,20.12,11.0,314,0,0
2024-02-17,Store_A,Water,7.88,4.0,749,0,0
2024-02-17,Store_B,Water,7.9,4.0,737,0,0
2024-02-17,Store_C,Water,8.14,4.0,674,0,0
2024-02-18,Store_A,Cola,11.88,7.0,574,0,0
2024-02-18,Store_B,Cola,11.87,7.0,642,0,0
2024-02-18,Store_C,Cola,10.69,7.0,858,1,0
2024-02-18,Store_A,Chips,20.08,11.0,375,0,0
2024-02-18,Store_B,Chips,20.11,11.0,345,0,0
2024-02-18,Store_C,Chips,19.97,11.0,331,0,0
2024-02-18,Store_A,Water,7.94,4.0,716,0,0
2024-02-18,Store_B,Water,8.07,4.0,664,0,0
2024-02-18,Store_C,Water,8.02,4.0,709,0,0
2024-02-19,Store_A,Cola,11.39,7.0,575,0,0
2024-02-19,Store_B,Cola,12.2,7.0,475,0,0
2024-02-19,Store_C,Cola,11.58,7.0,484,0,0
2024-02-19,Store_A,Chips,19.79,11.0,306,0,0
2024-02-19,Store_B,Chips,19.43,11.0,300,0,0
2024-02-19,Store_C,Chips,19.45,11.0,293,0,0
2024-02-19,Store_A,Water,8.09,4.0,601,0,0
2024-02-19,Store_B,Water,8.07,4.0,563,0,0
2024-02-19,Store_C,Water,7.87,4.0,678,0,0
2024-02-20,Store_A,Cola,12.25,7.0,489,0,0
2024-02-20,Store_B,Cola,11.98,7.0,544,0,0
2024-02-20,Store_C,Cola,11.19,7.0,541,0,0
2024-02-20,Store_A,Chips,20.26,11.0,300,0,0
2024-02-20,Store_B,Chips,17.21,11.0,496,1,0
2024-02-20,Store_C,Chips,20.04,11.0,256,0,0
2024-02-20,Store_A,Water,7.1,4.0,1091,1,0
2024-02-20,Store_B,Water,7.56,4.0,737,0,0
2024-02-20,Store_C,Water,8.78,4.0,542,0,0
2024-02-21,Store_A,Cola,12.34,7.0,515,0,0
2024-02-21,Store_B,Cola,11.59,7.0,561,0,0
2024-02-21,Store_C,Cola,12.89,7.0,428,0,0
2024-02-21,Store_A,Chips,17.5,11.0,446,1,0
2024-02-21,Store_B,Chips,20.91,11.0,283,0,0
2024-02-21,Store_C,Chips,19.68,11.0,315,0,0
2024-02-21,Store_A,Water,8.22,4.0,607,0,0
2024-02-21,Store_B,Water,8.02,4.0,604,0,0
2024-02-21,Store_C,Water,8.05,4.0,648,0,0
2024-02-22,Store_A,Cola,11.62,7.0,535,0,0
